FileName,SPDXID,LicenseConcluded,LicenseComment,LicenseInfoInFile,FileCopyrightText
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/netfilter/ct.h,SPDXRef-item38906,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/cli/ct.h,SPDXRef-item38939,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/nl-neigh-list.c,SPDXRef-item38494,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/link/ipvti.c,SPDXRef-item38669,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/netfilter/netfilter.h,SPDXRef-item38902,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/act/nat.c,SPDXRef-item38712,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/nexthop.h,SPDXRef-item38834,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/socket.h,SPDXRef-item38810,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/xfrm/nl-xfrm.h,SPDXRef-item38612,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/qdisc/red.c,SPDXRef-item38629,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/pktloc.h,SPDXRef-item38832,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/tests/test-socket-creation.c,SPDXRef-item38445,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/in6.h,SPDXRef-item39002,"GPL-2.0-or-later-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/qdisc/plug.h,SPDXRef-item38822,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/nl-list-caches.c,SPDXRef-item38499,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/act/vlan.h,SPDXRef-item38888,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/tests/test-create-macvtap.c,SPDXRef-item38456,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/cli/addr.h,SPDXRef-item38942,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/idiag/meminfo.h,SPDXRef-item38913,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/nf-exp-delete.c,SPDXRef-item38522,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/tests/test-create-vrf.c,SPDXRef-item38452,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/tests/test-create-macsec.c,SPDXRef-item38458,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/link/team.h,SPDXRef-item38845,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/tests/test-create-bond.c,SPDXRef-item38468,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/in_route.h,SPDXRef-item39001,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/nl-link-name2ifindex.c,SPDXRef-item38503,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/link/inet6.c,SPDXRef-item38676,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/netfilter/nfnetlink_compat.h,SPDXRef-item38984,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/lib/addr.c,SPDXRef-item38540,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/netfilter/queue.h,SPDXRef-item38900,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/nl-priv-dynamic-core/object-api.h,SPDXRef-item38785,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/nl-tctree-list.c,SPDXRef-item38482,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/act/gact.c,SPDXRef-item38714,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/link/geneve.h,SPDXRef-item38862,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/tests/test-create-ifb.c,SPDXRef-item38465,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/lib/route.c,SPDXRef-item38531,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/link/geneve.c,SPDXRef-item38679,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/cli/link.h,SPDXRef-item38937,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/link/vlan.h,SPDXRef-item38843,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/xfrm/sp.h,SPDXRef-item38802,"LicenseRef-fossology-BSD-3-Clause-b0e11beff03420a501ff6a671498787d",,"  
  BSD-3-Clause",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/cls/u32.h,SPDXRef-item38870,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/addr.h,SPDXRef-item38946,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/const.h,SPDXRef-item39022,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/genl/ctrl.c,SPDXRef-item38753,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/link/vrf.c,SPDXRef-item38659,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/xfrm/ae.h,SPDXRef-item38806,"LicenseRef-fossology-BSD-3-Clause-b0e11beff03420a501ff6a671498787d",,"  
  BSD-3-Clause",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/lib/cls.c,SPDXRef-item38538,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/nl-route-get.c,SPDXRef-item38485,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/cli/qdisc/hfsc.c,SPDXRef-item38765,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/ipv6.h,SPDXRef-item38997,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/fib_lookup/lookup.h,SPDXRef-item38925,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/netfilter/queue_msg.c,SPDXRef-item38722,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/can/netlink.h,SPDXRef-item39024,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/link/ip6gre.h,SPDXRef-item38858,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/qdisc.c,SPDXRef-item38642,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/netlink.h,SPDXRef-item38895,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/tests/nl-test-util.c,SPDXRef-item38472,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/nl.c,SPDXRef-item38717,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/inet_diag.h,SPDXRef-item39000,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/ioctl.h,SPDXRef-item38999,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/mdb.c,SPDXRef-item38655,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/qdisc/prio.h,SPDXRef-item38821,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/idiag-socket-details.c,SPDXRef-item38541,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/link/api.h,SPDXRef-item38867,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/netfilter/nl-netfilter.h,SPDXRef-item38724,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/cli/qdisc/htb.c,SPDXRef-item38764,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/qdisc/fq_codel.c,SPDXRef-item38637,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/object.h,SPDXRef-item38893,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/link/ipgre.c,SPDXRef-item38672,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/ethtool.h,SPDXRef-item39020,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/qdisc/cbq.c,SPDXRef-item38640,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/idiag/idiag.c,SPDXRef-item38744,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/stddef.h,SPDXRef-item38966,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/rtnetlink.h,SPDXRef-item38974,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/netfilter/nf_conntrack_tcp.h,SPDXRef-item38986,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/nf-ct-events.c,SPDXRef-item38525,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/netfilter/log_msg_obj.c,SPDXRef-item38728,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/link/info-api.h,SPDXRef-item38859,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/qdisc/fifo.h,SPDXRef-item38828,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/nl-link-stats.c,SPDXRef-item38500,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/link/ip6vti.h,SPDXRef-item38856,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/netfilter/nfnl.c,SPDXRef-item38725,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/link/vxlan.h,SPDXRef-item38841,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/genl/genl.c,SPDXRef-item38751,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/tests/test-create-sit.c,SPDXRef-item38455,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/nexthop.h,SPDXRef-item38978,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/if_arp.h,SPDXRef-item39011,"GPL-2.0-or-later-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/list.h,SPDXRef-item38908,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/pkt_sched.h,SPDXRef-item38976,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/netconf.c,SPDXRef-item38652,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/xfrm/template.h,SPDXRef-item38801,"LicenseRef-fossology-BSD-3-Clause-b0e11beff03420a501ff6a671498787d",,"  
  BSD-3-Clause",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/link/ppp.c,SPDXRef-item38665,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/idiag/msg.h,SPDXRef-item38912,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/mpls.h,SPDXRef-item38993,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/netfilter/nf_conntrack_common.h,SPDXRef-item38987,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/nf-exp-add.c,SPDXRef-item38523,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/linux-private/linux/gen_stats.h,SPDXRef-item39017,"GPL-2.0-only-WITH-Linux-syscall-note",,NOASSERTION,NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/hash.h,SPDXRef-item38916,"LicenseRef-fossology-Public-domain",,"  
  LicenseRef-fossology-Public-domain",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/netfilter/queue_msg.h,SPDXRef-item38899,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/link/macvlan.c,SPDXRef-item38666,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/netfilter/log_msg.h,SPDXRef-item38903,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/fib_lookup/lookup.c,SPDXRef-item38756,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/netfilter/queue.c,SPDXRef-item38723,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/error.c,SPDXRef-item38757,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/nl-priv-dynamic-route/nl-priv-dynamic-route.h,SPDXRef-item38782,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/link/veth.c,SPDXRef-item38661,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/version.c,SPDXRef-item38615,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/nl-nh-list.c,SPDXRef-item38492,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/lib/route/act/skbedit.c,SPDXRef-item38711,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/src/lib/exp.c,SPDXRef-item38536,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
libnl-libnl3_9_0.tar.gz/libnl-libnl3_9_0.tar/libnl-libnl3_9_0/include/netlink/route/qdisc/fq_codel.h,SPDXRef-item38827,"LGPL-2.1-only",,"  
  LGPL-2.1-only",NOASSERTION
